sample_date,nhs_name,all,var2
2020-02-05,South East,1,0
2020-02-08,South East,2,0
2020-02-16,London,1,0
2020-02-23,London,1,0
2020-02-24,London,1,0
2020-02-24,North West,1,0
2020-02-25,North East and Yorkshire,1,0
2020-02-25,North West,1,0
2020-02-26,East of England,1,0
2020-02-27,East of England,1,0
2020-02-27,London,1,0
2020-02-27,North East and Yorkshire,1,0
2020-02-27,South West,1,0
2020-02-27,Wales,1,0
2020-02-28,North East and Yorkshire,2,0
2020-02-28,North West,1,0
2020-02-28,Scotland,1,0
2020-02-28,South East,2,0
2020-02-29,London,6,0
2020-02-29,South West,1,0
2020-03-01,East of England,2,0
2020-03-01,London,5,0
2020-03-01,Midlands,1,0
2020-03-01,North East and Yorkshire,1,0
2020-03-01,North West,3,0
2020-03-01,Scotland,1,0
2020-03-01,South East,1,0
2020-03-02,London,10,0
2020-03-02,Midlands,3,0
2020-03-02,North East and Yorkshire,5,0
2020-03-02,North West,6,0
2020-03-02,Scotland,1,0
2020-03-02,South East,1,0
2020-03-02,South West,6,0
2020-03-03,East of England,3,0
2020-03-03,London,6,0
2020-03-03,Midlands,6,0
2020-03-03,North East and Yorkshire,6,0
2020-03-03,North West,3,0
2020-03-03,Scotland,2,0
2020-03-03,South East,7,0
2020-03-03,South West,7,0
2020-03-04,East of England,7,0
2020-03-04,London,22,0
2020-03-04,Midlands,4,0
2020-03-04,North East and Yorkshire,2,0
2020-03-04,North West,2,0
2020-03-04,Scotland,5,0
2020-03-04,South East,7,0
2020-03-04,South West,4,0
2020-03-05,London,15,0
2020-03-05,Midlands,5,0
2020-03-05,North East and Yorkshire,9,0
2020-03-05,North West,7,0
2020-03-05,Scotland,3,0
2020-03-05,South East,4,0
2020-03-05,South West,3,0
2020-03-06,East of England,5,0
2020-03-06,London,20,0
2020-03-06,Midlands,6,0
2020-03-06,North West,3,0
2020-03-06,Scotland,7,0
2020-03-06,South East,12,0
2020-03-06,South West,5,0
2020-03-07,East of England,2,0
2020-03-07,London,13,0
2020-03-07,Midlands,6,0
2020-03-07,North East and Yorkshire,1,0
2020-03-07,North West,6,0
2020-03-07,Scotland,5,0
2020-03-07,South East,3,0
2020-03-07,South West,2,0
2020-03-08,East of England,4,0
2020-03-08,London,23,0
2020-03-08,Midlands,3,0
2020-03-08,North East and Yorkshire,3,0
2020-03-08,North West,4,0
2020-03-08,Scotland,1,0
2020-03-08,South East,2,0
2020-03-08,South West,3,0
2020-03-08,Wales,1,0
2020-03-09,East of England,6,0
2020-03-09,London,45,0
2020-03-09,Midlands,1,0
2020-03-09,North East and Yorkshire,6,0
2020-03-09,North West,6,0
2020-03-09,Scotland,11,0
2020-03-09,South East,4,0
2020-03-09,South West,4,0
2020-03-10,East of England,18,0
2020-03-10,London,57,0
2020-03-10,Midlands,6,0
2020-03-10,North East and Yorkshire,5,0
2020-03-10,North West,11,0
2020-03-10,Northern Ireland,2,0
